organism,id1,id2,database
511145,b0002,b3829,800
511145,b0002,b3008,800
511145,b0002,b4244,800
511145,b0002,b0674,800
511145,b0002,b4139,800
511145,b0002,b3433,900
511145,b0002,b1767,800
511145,b0002,b3607,800
511145,b0002,b4177,800
511145,b0002,b2574,800
511145,b0002,b1814,800
511145,b0002,b3939,800
511145,b0002,b2957,800
511145,b0002,b2687,800
511145,b0002,b3172,800
511145,b0002,b3940,900
511145,b0002,b3744,800
511145,b0002,b4013,900
511145,b0002,b4024,900
511145,b0002,b0928,800
511145,b0002,b0261,800
511145,b0002,b4019,800
511145,b0002,b4245,800
511145,b0002,b2797,800
511145,b0002,b0003,900
511145,b0002,b1622,800
511145,b0002,b4471,800
511145,b0002,b2478,900
511145,b0002,b3770,800
511145,b0002,b0828,800
511145,b0003,b2687,800
511145,b0003,b3940,900
511145,b0003,b1814,800
511145,b0003,b3008,800
511145,b0003,b3939,800
511145,b0003,b3829,800
511145,b0003,b0004,900
511145,b0003,b3770,800
511145,b0003,b3607,800
511145,b0003,b2797,800
511145,b0003,b1622,800
511145,b0003,b4471,800
511145,b0003,b4019,800
511145,b0003,b0261,800
511145,b0004,b0052,900
511145,b0004,b3772,900
511145,b0004,b3117,900
511145,b0004,b3616,900
511145,b0004,b0870,900
511145,b0004,b0907,900
511145,b0008,b1723,900
511145,b0008,b4232,900
511145,b0008,b1779,800
511145,b0008,b2417,800
511145,b0008,b3916,900
511145,b0008,b2779,800
511145,b0008,b0688,800
511145,b0008,b2925,900
511145,b0008,b1621,800
511145,b0008,b3919,800
511145,b0008,b2930,900
511145,b0008,b4025,900
511145,b0008,b1101,800
511145,b0008,b1780,800
511145,b0008,b3925,900
511145,b0008,b1378,800
511145,b0008,b4381,900
511145,b0008,b0755,800
511145,b0008,b2935,900
511145,b0008,b2927,800
511145,b0008,b2097,900
511145,b0008,b4395,800
511145,b0008,b1702,800
511145,b0008,b2388,800
511145,b0008,b1854,800
511145,b0008,b2464,900
511145,b0008,b3612,800
511145,b0008,b1676,800
511145,b0008,b2465,900
511145,b0008,b0114,800
511145,b0009,b0785,900
511145,b0009,b0827,900
511145,b0009,b0782,900
511145,b0014,b0649,135
511145,b0014,b0727,90
511145,b0014,b2195,129
511145,b0014,b0720,49
511145,b0014,b2370,88
511145,b0014,b3153,46
511145,b0014,b3734,54
