id,bnumber
1CMET2-PWY,b0048
1CMET2-PWY,b0116
1CMET2-PWY,b0529
1CMET2-PWY,b1606
1CMET2-PWY,b2551
1CMET2-PWY,b2827
1CMET2-PWY,b2903
1CMET2-PWY,b2904
1CMET2-PWY,b2905
1CMET2-PWY,b2912
1CMET2-PWY,b3941
1CMET2-PWY,b4019
2PHENDEG-PWY,b1385
2PHENDEG-PWY,b1386
4AMINOBUTMETAB-PWY,b1300
4AMINOBUTMETAB-PWY,b1525
4AMINOBUTMETAB-PWY,b2661
ACETATEUTIL-PWY,b2296
ACETATEUTIL-PWY,b2297
ACETATEUTIL-PWY,b2458
ACETATEUTIL-PWY,b4069
ACETOACETATE-DEG-PWY,b1694
ACETOACETATE-DEG-PWY,b2221
ACETOACETATE-DEG-PWY,b2222
ACETOACETATE-DEG-PWY,b2224
ALADEG-PWY,b1189
ALADEG-PWY,b1190
ALADEG-PWY,b1622
ALADEG-PWY,b3008
ALADEG-PWY,b4053
ALANINE-SYN2-PWY,b2290
ALANINE-SYN2-PWY,b2379
ALKANEMONOX-PWY,b0935
ALKANEMONOX-PWY,b0937
ALL-CHORISMATE-PWY,b0048
ALL-CHORISMATE-PWY,b0142
ALL-CHORISMATE-PWY,b0388
ALL-CHORISMATE-PWY,b0421
ALL-CHORISMATE-PWY,b0583
ALL-CHORISMATE-PWY,b0586
ALL-CHORISMATE-PWY,b0594
ALL-CHORISMATE-PWY,b0595
ALL-CHORISMATE-PWY,b0596
ALL-CHORISMATE-PWY,b0662
ALL-CHORISMATE-PWY,b0754
ALL-CHORISMATE-PWY,b0893
ALL-CHORISMATE-PWY,b0908
ALL-CHORISMATE-PWY,b0928
ALL-CHORISMATE-PWY,b1096
ALL-CHORISMATE-PWY,b1260
ALL-CHORISMATE-PWY,b1261
ALL-CHORISMATE-PWY,b1262
ALL-CHORISMATE-PWY,b1263
ALL-CHORISMATE-PWY,b1264
ALL-CHORISMATE-PWY,b1606
ALL-CHORISMATE-PWY,b1686
ALL-CHORISMATE-PWY,b1693
ALL-CHORISMATE-PWY,b1704
ALL-CHORISMATE-PWY,b1719
ALL-CHORISMATE-PWY,b1812
ALL-CHORISMATE-PWY,b1865
ALL-CHORISMATE-PWY,b2153
ALL-CHORISMATE-PWY,b2232
ALL-CHORISMATE-PWY,b2260
ALL-CHORISMATE-PWY,b2261
ALL-CHORISMATE-PWY,b2262
ALL-CHORISMATE-PWY,b2263
ALL-CHORISMATE-PWY,b2264
ALL-CHORISMATE-PWY,b2315
ALL-CHORISMATE-PWY,b2329
ALL-CHORISMATE-PWY,b2563
ALL-CHORISMATE-PWY,b2599
ALL-CHORISMATE-PWY,b2600
ALL-CHORISMATE-PWY,b2601
ALL-CHORISMATE-PWY,b2697
ALL-CHORISMATE-PWY,b2906
ALL-CHORISMATE-PWY,b2907
ALL-CHORISMATE-PWY,b3058
ALL-CHORISMATE-PWY,b3177
ALL-CHORISMATE-PWY,b3187
ALL-CHORISMATE-PWY,b3281
ALL-CHORISMATE-PWY,b3360
ALL-CHORISMATE-PWY,b3389
ALL-CHORISMATE-PWY,b3390
ALL-CHORISMATE-PWY,b3475
ALL-CHORISMATE-PWY,b3770
ALL-CHORISMATE-PWY,b3833
ALL-CHORISMATE-PWY,b3843
ALL-CHORISMATE-PWY,b3930
ALL-CHORISMATE-PWY,b4039
ALL-CHORISMATE-PWY,b4040
ALL-CHORISMATE-PWY,b4054
AMMASSIM-PWY,b0032
AMMASSIM-PWY,b0033
AMMASSIM-PWY,b0485
AMMASSIM-PWY,b0674
AMMASSIM-PWY,b1263
AMMASSIM-PWY,b1264
AMMASSIM-PWY,b1524
AMMASSIM-PWY,b1812
AMMASSIM-PWY,b2023
AMMASSIM-PWY,b2025
AMMASSIM-PWY,b2507
AMMASSIM-PWY,b2780
AMMASSIM-PWY,b3212
AMMASSIM-PWY,b3213
AMMASSIM-PWY,b3360
AMMASSIM-PWY,b3870
