organism,id1,id2,experimental
511145,b0002,b1091,93
511145,b0002,b0171,99
511145,b0002,b3931,150
511145,b0002,b2890,93
511145,b0002,b4481,75
511145,b0002,b4340,65
511145,b0002,b3772,77
511145,b0002,b2329,73
511145,b0002,b2323,93
511145,b0002,b1033,79
511145,b0002,b3376,65
511145,b0002,b0909,92
511145,b0002,b3117,77
511145,b0002,b2268,70
511145,b0002,b1095,93
511145,b0002,b1087,94
511145,b0002,b0082,99
511145,b0002,b3281,66
511145,b0002,b1415,90
511145,b0002,b0407,196
511145,b0002,b2114,79
511145,b0002,b2508,64
511145,b0002,b1525,90
511145,b0002,b0650,71
511145,b0002,b1692,66
511145,b0002,b1337,92
511145,b0002,b0115,73
511145,b0002,b3433,155
511145,b0002,b3812,63
511145,b0002,b0080,94
511145,b0002,b1439,65
511145,b0002,b1241,90
511145,b0002,b0827,93
511145,b0002,b3256,66
511145,b0002,b3128,154
511145,b0002,b1719,65
511145,b0002,b3248,94
511145,b0002,b2871,77
511145,b0002,b2530,196
511145,b0002,b2455,90
511145,b0002,b0104,64
511145,b0002,b1385,90
511145,b0002,b0631,99
511145,b0002,b4207,284
511145,b0002,b2517,95
511145,b0002,b0004,146
511145,b0002,b2514,99
511145,b0002,b2697,66
511145,b0002,b2195,65
511145,b0002,b0727,73
511145,b0002,b4142,99
511145,b0002,b2926,95
511145,b0002,b1945,737
511145,b0002,b2290,102
511145,b0002,b2379,102
511145,b0002,b2320,79
511145,b0002,b0014,71
511145,b0002,b3940,616
511145,b0002,b0473,118
511145,b0002,b1710,66
511145,b0002,b4170,79
511145,b0002,b1338,92
511145,b0002,b4024,183
511145,b0002,b2319,155
511145,b0002,b0312,90
511145,b0002,b1852,55
511145,b0002,b1444,90
511145,b0002,b3588,90
511145,b0002,b0345,94
511145,b0002,b1387,90
511145,b0002,b2069,71
511145,b0002,b2526,71
511145,b0002,b4052,184
511145,b0002,b3091,154
511145,b0002,b0436,500
511145,b0002,b1300,90
511145,b0002,b1971,173
511145,b0002,b0003,111
511145,b0002,b0600,102
511145,b0002,b1746,90
511145,b0002,b2661,90
511145,b0002,b4129,93
511145,b0002,b3569,94
511145,b0002,b2913,79
511145,b0002,b3926,75
511145,b0002,b3347,284
511145,b0002,b4141,62
511145,b0003,b4024,90
511145,b0003,b3064,85
511145,b0003,b4388,91
511145,b0003,b2560,91
511145,b0003,b3940,111
511145,b0003,b2290,89
511145,b0003,b2379,89
511145,b0003,b0870,92
511145,b0003,b0907,91
511145,b0003,b0600,89
511145,b0003,b0033,77
511145,b0004,b2508,150
511145,b0004,b0407,108
511145,b0004,b4463,93
511145,b0004,b2891,93
511145,b0004,b3957,94
511145,b0004,b3064,87
511145,b0004,b1581,158
511145,b0004,b0888,108
511145,b0004,b0345,122
511145,b0004,b3433,79
511145,b0004,b1387,62
511145,b0004,b2472,99
511145,b0004,b4024,100
511145,b0004,b2319,79
511145,b0004,b1380,99
511145,b0004,b2779,108
511145,b0004,b2379,89
511145,b0004,b2147,72
511145,b0004,b2556,65
511145,b0004,b2290,89
511145,b0004,b0437,91
511145,b0004,b4232,108
511145,b0004,b2329,78
511145,b0004,b3940,146
511145,b0004,b0333,75
511145,b0004,b2872,99
511145,b0004,b2133,93
511145,b0004,b2560,91
511145,b0004,b1096,84
511145,b0004,b4388,91
511145,b0004,b0516,94
511145,b0004,b3553,99
511145,b0004,b1896,79
511145,b0004,b3770,84
511145,b0004,b1687,93
511145,b0004,b4399,65
511145,b0004,b0870,92
511145,b0004,b3569,122
511145,b0004,b2979,93
511145,b0004,b3210,65
511145,b0004,b0907,91
511145,b0004,b1207,108
511145,b0004,b0930,90
511145,b0004,b0945,72
511145,b0004,b2370,65
511145,b0004,b2890,99
511145,b0004,b0720,75
511145,b0004,b0073,72
511145,b0004,b2878,72
511145,b0004,b1241,62
511145,b0004,b3973,77
511145,b0004,b0931,118
511145,b0004,b4129,99
511145,b0004,b0104,150
511145,b0004,b4468,93
511145,b0004,b0600,89
511145,b0004,b2455,62
511145,b0004,b3197,215
511145,b0004,b1719,66
511145,b0004,b2708,215
511145,b0004,b0642,84
511145,b0004,b1800,72
511145,b0006,b0587,343
511145,b0007,b1078,256
511145,b0008,b0014,65
511145,b0008,b3781,500
511145,b0008,b2509,99
511145,b0008,b3904,90
511145,b0008,b0089,92
511145,b0008,b0759,73
511145,b0008,b1136,66
511145,b0008,b2341,71
511145,b0008,b2599,90
511145,b0008,b0333,65
511145,b0008,b0605,119
511145,b0008,b1732,90
511145,b0008,b3141,69
511145,b0008,b2329,91
511145,b0008,b3316,89
511145,b0008,b1033,90
511145,b0008,b0869,82
511145,b0008,b2779,69
511145,b0008,b1380,62
511145,b0008,b0545,89
511145,b0008,b2379,89
511145,b0008,b3303,87
511145,b0008,b0688,239
511145,b0008,b2908,89
511145,b0008,b1276,89
511145,b0008,b2776,90
511145,b0008,b3386,133
511145,b0008,b1692,90
511145,b0008,b1852,171
511145,b0008,b3919,113
511145,b0008,b3588,83
511145,b0008,b3152,82
511145,b0008,b4211,82
511145,b0008,b3433,73
511145,b0008,b1387,83
511145,b0008,b0080,101
511145,b0008,b3564,90
511145,b0008,b3281,90
511145,b0008,b3580,90
511145,b0008,b4301,133
511145,b0008,b0678,69
511145,b0008,b4085,133
511145,b0008,b3306,85
511145,b0008,b1511,90
511145,b0008,b3846,71
511145,b0008,b4502,79
511145,b0008,b1415,83
511145,b0008,b2803,90
511145,b0008,b4069,77
511145,b0008,b0771,89
511145,b0008,b2600,90
511145,b0008,b1611,91
511145,b0008,b2029,111
511145,b0008,b2421,65
511145,b0008,b0071,376
511145,b0008,b0755,76
511145,b0008,b1746,83
511145,b0008,b2935,146
511145,b0008,b2455,83
511145,b0008,b0675,79
511145,b0008,b0773,89
511145,b0008,b0928,93
511145,b0008,b1241,83
511145,b0008,b4054,93
511145,b0008,b1300,83
511145,b0008,b0720,65
511145,b0008,b2697,77
511145,b0008,b4034,109
511145,b0008,b0170,128
511145,b0008,b3878,90
511145,b0008,b0169,85
511145,b0008,b3297,85
511145,b0008,b4142,92
511145,b0008,b3498,90
511145,b0008,b3236,77
511145,b0008,b3612,69
511145,b0008,b2518,91
511145,b0008,b3847,89
511145,b0008,b2913,90
511145,b0008,b0907,80
511145,b0008,b0634,99
511145,b0008,b2465,146
511145,b0008,b2914,84
511145,b0008,b0394,83
511145,b0008,b0072,123
511145,b0008,b3347,89
511145,b0008,b0421,89
511145,b0008,b3553,62
511145,b0008,b3718,69
511145,b0008,b4177,91
511145,b0009,b3856,399
511145,b0009,b2467,94
511145,b0009,b1727,645
511145,b0009,b2231,508
511145,b0009,b0761,99
511145,b0009,b0827,399
511145,b0009,b1864,343
511145,b0009,b1224,399
511145,b0009,b2991,432
