organism,id1,id2,experimental
511145,b0009,b1334,112
511145,b0011,b1073,441
511145,b0011,b1778,399
511145,b0011,b2304,75
511145,b0014,b3486,89
511145,b0014,b0649,264
511145,b0014,b0999,91
511145,b0014,b0727,89
511145,b0014,b2697,120
511145,b0014,b2195,238
511145,b0014,b4154,90
511145,b0014,b2464,65
511145,b0014,b3741,61
511145,b0014,b3253,98
511145,b0014,b0932,97
511145,b0014,b2514,92
511145,b0014,b0720,62
511145,b0014,b3261,78
511145,b0014,b3229,184
511145,b0014,b2811,500
511145,b0014,b3202,84
511145,b0014,b0174,82
511145,b0014,b0628,66
511145,b0014,b0595,72
511145,b0014,b3590,89
511145,b0014,b4147,88
511145,b0014,b2370,79
511145,b0014,b2926,128
511145,b0014,b3153,94
511145,b0014,b3236,92
511145,b0014,b0386,88
511145,b0014,b3687,89
511145,b0014,b4142,190
511145,b0014,b4078,152
511145,b0014,b3734,117
511145,b0014,b3297,267
511145,b0014,b3845,94
511145,b0014,b2302,141
511145,b0014,b2218,79
511145,b0014,b1676,92
511145,b0014,b1184,85
511145,b0014,b1071,52
511145,b0014,b0907,89
511145,b0014,b0680,87
511145,b0014,b0091,77
511145,b0014,b4207,146
511145,b0014,b2520,110
511145,b0014,b3469,78
511145,b0014,b0495,52
511145,b0014,b1129,79
511145,b0014,b1492,82
511145,b0014,b2627,136
511145,b0014,b4143,588
511145,b0014,b1207,114
511145,b0014,b3530,93
511145,b0014,b0053,52
511145,b0014,b0191,79
511145,b0014,b1646,157
511145,b0014,b0729,76
511145,b0014,b0723,90
511145,b0014,b4177,61
511145,b0014,b1120,98
511145,b0014,b2892,77
511145,b0014,b0518,87
511145,b0014,b0421,119
511145,b0014,b3363,169
511145,b0014,b3438,101
511145,b0014,b0914,139
511145,b0014,b0078,65
511145,b0014,b0875,86
511145,b0014,b1719,83
511145,b0014,b3319,243
511145,b0014,b3251,53
511145,b0014,b1411,157
511145,b0014,b0058,68
511145,b0014,b1713,61
511145,b0014,b0439,53
511145,b0014,b2029,79
511145,b0014,b0826,127
511145,b0014,b1606,89
511145,b0014,b3596,152
511145,b0014,b0642,62
511145,b0014,b2480,95
511145,b0014,b3305,271
511145,b0014,b0882,53
511145,b0014,b4259,78
511145,b0014,b2097,83
511145,b0014,b0623,84
511145,b0014,b2455,80
511145,b0014,b0161,109
511145,b0014,b0633,94
511145,b0014,b1633,73
511145,b0014,b2530,78
511145,b0014,b1000,772
511145,b0014,b0755,69
511145,b0014,b4179,121
511145,b0014,b3310,283
511145,b0014,b1241,80
511145,b0014,b0033,114
511145,b0014,b4175,109
511145,b0014,b0143,66
511145,b0014,b3532,264
511145,b0014,b0644,152
511145,b0014,b3302,257
511145,b0014,b0435,65
511145,b0014,b3636,53
511145,b0014,b3737,78
511145,b0014,b4063,92
511145,b0014,b1206,84
511145,b0014,b2721,570
511145,b0014,b1086,68
511145,b0014,b1552,84
511145,b0014,b2954,84
511145,b0014,b3686,89
511145,b0014,b0095,130
511145,b0014,b2275,264
511145,b0014,b0775,52
511145,b0014,b0492,93
511145,b0014,b3247,78
511145,b0014,b1494,89
511145,b0014,b3301,246
511145,b0014,b2568,88
511145,b0014,b3311,241
511145,b0014,b2845,72
511145,b0014,b2281,80
511145,b0014,b2527,89
511145,b0014,b0487,92
511145,b0014,b3230,62
511145,b0014,b0726,60
511145,b0014,b3300,148
511145,b0014,b1525,80
511145,b0014,b3500,80
511145,b0014,b3844,80
511145,b0014,b4174,109
511145,b0014,b1493,124
511145,b0014,b3282,52
511145,b0014,b0893,73
511145,b0014,b0115,89
511145,b0014,b0838,141
511145,b0014,b1094,78
511145,b0014,b0881,500
511145,b0014,b3165,263
511145,b0014,b2022,64
511145,b0014,b1211,52
511145,b0014,b0851,52
511145,b0014,b2891,79
511145,b0014,b3985,261
511145,b0014,b2216,79
511145,b0014,b1103,102
511145,b0014,b3308,259
511145,b0014,b4025,63
511145,b0014,b2239,60
511145,b0014,b0231,85
511145,b0014,b0049,275
511145,b0014,b0990,84
511145,b0014,b1860,79
511145,b0014,b3640,63
511145,b0014,b3980,77
511145,b0014,b0184,61
511145,b0014,b3026,79
511145,b0014,b3312,93
511145,b0014,b2284,65
511145,b0014,b0880,84
511145,b0014,b3318,272
511145,b0014,b3162,110
511145,b0014,b0048,89
511145,b0014,b3359,63
511145,b0014,b0989,84
511145,b0014,b4059,96
511145,b0014,b0525,169
511145,b0014,b2780,63
511145,b0014,b3030,75
511145,b0014,b3315,241
511145,b0014,b0797,110
511145,b0014,b0911,659
511145,b0014,b0909,60
511145,b0014,b2301,141
511145,b0014,b2798,79
511145,b0014,b3807,94
511145,b0014,b3746,80
511145,b0014,b2791,68
511145,b0014,b0605,200
511145,b0014,b3927,86
511145,b0014,b3517,124
511145,b0014,b2269,95
511145,b0014,b1095,89
511145,b0014,b1185,92
511145,b0014,b3179,74
511145,b0014,b0647,152
511145,b0014,b1084,845
511145,b0014,b1866,109
511145,b0014,b3705,90
511145,b0014,b1653,135
511145,b0014,b3539,72
511145,b0014,b3342,241
511145,b0014,b2323,89
511145,b0014,b3916,77
511145,b0014,b3704,52
511145,b0014,b3307,68
511145,b0014,b2851,264
511145,b0014,b3296,255
511145,b0014,b2329,65
511145,b0014,b1779,163
511145,b0014,b3314,281
511145,b0014,b4232,84
511145,b0014,b0440,52
511145,b0014,b2522,264
511145,b0014,b2414,93
511145,b0014,b2551,87
511145,b0014,b0074,80
511145,b0014,b1276,92
511145,b0014,b1637,79
511145,b0014,b2908,84
511145,b0014,b2312,85
511145,b0014,b3303,276
511145,b0014,b3320,269
511145,b0014,b3234,109
511145,b0014,b3168,117
511145,b0014,b2779,308
511145,b0014,b3619,75
511145,b0014,b3357,109
511145,b0014,b3461,948
511145,b0014,b2942,124
511145,b0014,b0728,78
511145,b0014,b4051,128
511145,b0014,b1042,114
511145,b0014,b0171,89
511145,b0014,b1854,127
511145,b0014,b4153,105
511145,b0014,b2274,264
511145,b0014,b2518,281
511145,b0014,b1343,110
511145,b0014,b1943,52
511145,b0014,b3340,162
511145,b0014,b0451,86
511145,b0014,b4481,133
511145,b0014,b0055,89
511145,b0014,b0169,289
511145,b0014,b3878,123
511145,b0014,b3931,84
511145,b0014,b0170,62
511145,b0014,b3166,63
511145,b0014,b3701,62
511145,b0014,b3018,79
511145,b0014,b3210,79
511145,b0014,b2507,77
511145,b0014,b1274,77
511145,b0014,b3699,75
511145,b0014,b3404,79
511145,b0014,b3648,254
511145,b0014,b3231,263
511145,b0014,b3178,98
511145,b0014,b2796,72
511145,b0014,b0646,264
511145,b0014,b2609,52
511145,b0014,b1262,65
511145,b0014,b4000,53
511145,b0014,b1883,52
511145,b0014,b3347,146
511145,b0014,b1197,66
511145,b0014,b1687,77
511145,b0014,b3926,133
511145,b0014,b2465,89
511145,b0014,b2529,162
511145,b0014,b2889,71
511145,b0014,b2836,93
511145,b0014,b3709,72
511145,b0014,b3298,257
511145,b0014,b3352,92
511145,b0014,b3339,77
511145,b0014,b2421,93
511145,b0014,b0472,94
511145,b0014,b1378,80
511145,b0014,b1971,52
511145,b0014,b3304,259
511145,b0014,b0026,79
511145,b0014,b2600,86
511145,b0014,b4226,109
511145,b0014,b2576,110
511145,b0014,b0489,109
511145,b0014,b0318,281
511145,b0014,b3480,52
511145,b0014,b2708,80
511145,b0014,b3732,84
511145,b0014,b2989,141
511145,b0014,b2661,80
511145,b0014,b0449,139
511145,b0014,b0773,52
511145,b0014,b1131,85
511145,b0014,b3863,63
511145,b0014,b0474,241
511145,b0014,b0194,124
511145,b0014,b2927,137
511145,b0014,b0127,89
511145,b0014,b2935,89
511145,b0014,b1746,80
511145,b0014,b3414,73
511145,b0014,b0060,87
511145,b0014,b4483,64
511145,b0014,b3295,171
511145,b0014,b3992,91
511145,b0014,b4203,53
511145,b0014,b2127,92
511145,b0014,b2764,86
511145,b0014,b2582,133
511145,b0014,b0116,80
511145,b0014,b2566,62
511145,b0014,b0928,90
511145,b0014,b1413,121
511145,b0014,b1897,82
511145,b0014,b3161,72
511145,b0014,b2072,106
511145,b0014,b2526,78
511145,b0014,b1300,80
511145,b0014,b0431,78
511145,b0014,b3321,281
511145,b0014,b4219,70
511145,b0014,b3341,251
511145,b0014,b0073,68
511145,b0014,b0059,279
511145,b0014,b3708,78
511145,b0014,b2171,88
511145,b0014,b2217,67
511145,b0014,b2318,66
511145,b0014,b3592,141
511145,b0014,b0526,77
511145,b0014,b0484,89
511145,b0014,b3988,80
511145,b0014,b2614,997
511145,b0014,b1558,84
511145,b0014,b3309,274
511145,b0014,b0094,89
511145,b0014,b3919,113
511145,b0014,b2525,66
511145,b0014,b1852,64
511145,b0014,b3780,144
511145,b0014,b1749,91
511145,b0014,b2594,68
511145,b0014,b4172,69
511145,b0014,b2925,79
511145,b0014,b3402,90
511145,b0014,b2569,79
511145,b0014,b0312,80
511145,b0014,b3656,123
511145,b0014,b2592,999
511145,b0014,b1823,84
511145,b0014,b2066,89
511145,b0014,b3116,72
511145,b0014,b1387,80
511145,b0014,b0345,101
511145,b0014,b0809,52
511145,b0014,b3588,80
511145,b0014,b1651,79
511145,b0014,b3984,82
511145,b0014,b0098,53
511145,b0014,b1654,95
511145,b0014,b3064,93
511145,b0014,b2610,84
511145,b0014,b3846,60
511145,b0014,b2231,718
511145,b0014,b1710,75
511145,b0014,b4170,126
511145,b0014,b3306,276
511145,b0014,b0148,121
511145,b0014,b3983,253
511145,b0014,b3110,72
511145,b0014,b0473,855
511145,b0014,b0168,91
511145,b0014,b4242,90
511145,b0014,b1829,60
511145,b0014,b2400,87
511145,b0014,b2821,90
511145,b0014,b1967,94
511145,b0014,b1635,141
511145,b0014,b0529,52
511145,b0014,b3187,83
511145,b0014,b0771,92
511145,b0014,b2567,90
511145,b0014,b2786,79
511145,b0014,b2606,53
511145,b0014,b4069,78
511145,b0014,b1464,63
511145,b0014,b3678,52
511145,b0014,b2153,84
511145,b0014,b1557,84
511145,b0014,b0438,97
511145,b0014,b3519,77
511145,b0014,b1282,146
511145,b0014,b0028,52
511145,b0014,b3164,511
511145,b0014,b4003,79
511145,b0014,b3235,109
511145,b0014,b0448,139
511145,b0014,b3556,84
511145,b0014,b3781,93
511145,b0014,b1041,114
511145,b0014,b2542,91
511145,b0014,b2687,79
511145,b0014,b2286,87
511145,b0014,b0993,79
511145,b0014,b1014,94
511145,b0014,b1761,89
511145,b0014,b3735,73
511145,b0014,b3911,79
511145,b0014,b0333,62
511145,b0014,b0849,72
511145,b0014,b2237,211
511145,b0014,b3940,71
511145,b0014,b1281,78
511145,b0014,b3317,262
511145,b0014,b2341,60
511145,b0014,b1136,68
511145,b0014,b3172,64
511145,b0014,b0177,91
511145,b0014,b2699,78
511145,b0014,b0015,999
511145,b0014,b2565,92
511145,b0014,b1203,105
511145,b0014,b3649,73
511145,b0014,b0437,127
511145,b0014,b1905,82
511145,b0014,b1907,72
511145,b0014,b3987,95
511145,b0014,b0383,900
511145,b0014,b3207,211
511145,b0014,b3292,92
511145,b0014,b3316,257
511145,b0014,b1004,65
511145,b0014,b0215,50
511145,b0014,b0424,528
511145,b0014,b4077,90
511145,b0014,b1162,92
511145,b0014,b2615,52
511145,b0014,b3212,66
511145,b0014,b0724,105
511145,b0014,b4109,102
511145,b0014,b2212,93
511145,b0014,b2523,64
511145,b0014,b1263,64
511145,b0014,b3313,613
511145,b0014,b3639,84
511145,b0014,b0144,87
511145,b0014,b0894,500
511145,b0014,b3228,89
511145,b0014,b3181,89
511145,b0014,b4258,61
511145,b0015,b0423,206
511145,b0015,b3287,99
511145,b0015,b3298,467
511145,b0015,b3339,84
511145,b0015,b2421,79
511145,b0015,b1378,752
511145,b0015,b1092,64
511145,b0015,b0026,116
511145,b0015,b2600,93
511145,b0015,b2395,125
511145,b0015,b4226,80
511145,b0015,b2576,305
511145,b0015,b2297,205
511145,b0015,b0318,179
511145,b0015,b3732,156
511145,b0015,b0449,94
511145,b0015,b0419,212
511145,b0015,b0773,284
511145,b0015,b3863,89
511145,b0015,b0659,381
511145,b0015,b2160,63
511145,b0015,b0474,80
511145,b0015,b0194,98
511145,b0015,b2927,85
511145,b0015,b0127,84
511145,b0015,b3197,157
511145,b0015,b3783,158
511145,b0015,b3414,63
511145,b0015,b0060,101
511145,b0015,b3295,61
511145,b0015,b2127,276
511145,b0015,b2582,136
511145,b0015,b0116,62
511145,b0015,b2283,326
511145,b0015,b3967,93
511145,b0015,b4052,94
511145,b0015,b1413,158
511145,b0015,b1805,279
511145,b0015,b3161,59
511145,b0015,b2072,371
511145,b0015,b2562,246
511145,b0015,b0414,65
511145,b0015,b1773,218
511145,b0015,b3321,441
511145,b0015,b4219,83
511145,b0015,b3341,445
511145,b0015,b0484,65
511145,b0015,b3988,97
511145,b0015,b1406,212
511145,b0015,b2614,559
511145,b0015,b1558,65
511145,b0015,b3309,621
511145,b0015,b4200,558
511145,b0015,b0789,61
511145,b0015,b3418,637
511145,b0015,b3357,67
511145,b0015,b3461,858
511145,b0015,b4034,504
511145,b0015,b2942,300
511145,b0015,b0441,90
511145,b0015,b0637,617
511145,b0015,b1091,91
511145,b0015,b2255,278
511145,b0015,b2274,206
511145,b0015,b2518,576
511145,b0015,b1099,68
511145,b0015,b1343,242
511145,b0015,b3340,189
511145,b0015,b3498,79
511145,b0015,b0169,451
511145,b0015,b3878,354
511145,b0015,b3931,161
511145,b0015,b0170,62
511145,b0015,b2819,55
511145,b0015,b0084,243
511145,b0015,b1858,94
511145,b0015,b0634,92
511145,b0015,b3210,94
511145,b0015,b1680,64
511145,b0015,b1274,62
511145,b0015,b3137,218
511145,b0015,b2052,256
511145,b0015,b3648,67
511145,b0015,b2919,256
511145,b0015,b3231,619
511145,b0015,b3178,165
511145,b0015,b2016,256
511145,b0015,b2796,59
511145,b0015,b0646,206
511145,b0015,b2609,538
511145,b0015,b4000,91
511145,b0015,b3347,91
511145,b0015,b2324,165
511145,b0015,b1687,78
511145,b0015,b3926,82
511145,b0015,b2529,153
511145,b0015,b1701,279
511145,b0015,b2836,282
511145,b0015,b3709,59
511145,b0015,b0344,90
511145,b0015,b0028,54
511145,b0015,b4003,83
511145,b0015,b1923,91
511145,b0015,b0756,59
511145,b0015,b2113,90
511145,b0015,b0089,92
511145,b0015,b1386,273
511145,b0015,b3235,66
511145,b0015,b0448,94
511145,b0015,b3556,65
511145,b0015,b2698,99
511145,b0015,b3781,91
511145,b0015,b4180,335
511145,b0015,b2411,71
511145,b0015,b2542,177
511145,b0015,b0993,94
511145,b0015,b3400,93
511145,b0015,b1249,61
511145,b0015,b3911,83
511145,b0015,b2237,150
511145,b0015,b1281,63
511145,b0015,b3317,471
511145,b0015,b2341,256
511145,b0015,b0177,95
511145,b0015,b2699,406
511145,b0015,b3725,218
511145,b0015,b2620,108
511145,b0015,b0869,258
511145,b0015,b0437,145
511145,b0015,b3706,616
511145,b0015,b1907,59
511145,b0015,b0183,282
511145,b0015,b3987,94
511145,b0015,b3207,150
511145,b0015,b3292,276
511145,b0015,b0036,256
511145,b0015,b3316,94
511145,b0015,b0424,832
511145,b0015,b3294,619
511145,b0015,b1162,276
511145,b0015,b3637,538
511145,b0015,b2212,83
511145,b0015,b3313,452
511145,b0015,b3651,335
511145,b0015,b0545,284
511145,b0015,b3181,91
511145,b0015,b1380,94
511145,b0015,b3560,111
511145,b0015,b2834,212
511145,b0015,b4160,74
511145,b0015,b4258,61
511145,b0015,b0094,168
511145,b0015,b3919,85
511145,b0015,b3780,242
511145,b0015,b2594,283
511145,b0015,b4172,78
511145,b0015,b2625,94
511145,b0015,b2925,218
511145,b0015,b3656,354
511145,b0015,b2733,64
511145,b0015,b2592,571
511145,b0015,b4233,94
511145,b0015,b2260,279
511145,b0015,b1823,134
511145,b0015,b2066,92
511145,b0015,b4348,147
511145,b0015,b0868,256
511145,b0015,b2668,206
511145,b0015,b1089,538
511145,b0015,b3116,59
511145,b0015,b0610,91
511145,b0015,b2060,90
511145,b0015,b0345,89
511145,b0015,b1324,93
511145,b0015,b3984,102
511145,b0015,b2463,145
511145,b0015,b1654,85
511145,b0015,b3908,535
511145,b0015,b2610,62
511145,b0015,b3846,256
511145,b0015,b2231,148
511145,b0015,b1710,106
511145,b0015,b4170,60
511145,b0015,b1925,99
511145,b0015,b3306,392
511145,b0015,b3865,613
511145,b0015,b4058,126
511145,b0015,b0148,158
511145,b0015,b3983,619
511145,b0015,b3110,59
511145,b0015,b3527,282
511145,b0015,b3960,93
511145,b0015,b0473,389
511145,b0015,b0168,65
511145,b0015,b4242,67
511145,b0015,b1829,145
511145,b0015,b3406,91
511145,b0015,b1835,78
511145,b0015,b0607,363
511145,b0015,b1635,105
511145,b0015,b0771,283
511145,b0015,b2567,534
511145,b0015,b2786,168
511145,b0015,b1394,256
511145,b0015,b2285,463
511145,b0015,b2606,588
511145,b0015,b1563,110
511145,b0015,b1557,65
511145,b0015,b0438,83
511145,b0015,b1719,89
511145,b0015,b3319,396
511145,b0015,b3251,90
511145,b0015,b3289,78
511145,b0015,b1411,130
511145,b0015,b0058,283
511145,b0015,b1713,99
511145,b0015,b3350,61
511145,b0015,b1611,88
511145,b0015,b0981,90
511145,b0015,b0642,99
511145,b0015,b1876,91
511145,b0015,b2608,99
511145,b0015,b3305,582
511145,b0015,b0104,83
511145,b0015,b4136,99
511145,b0015,b0882,160
511145,b0015,b2097,88
511145,b0015,b0623,65
511145,b0015,b0172,99
511145,b0015,b0161,66
511145,b0015,b3729,194
511145,b0015,b1939,94
511145,b0015,b1538,79
511145,b0015,b3186,616
511145,b0015,b4179,80
511145,b0015,b3310,619
511145,b0015,b2103,79
511145,b0015,b1241,72
511145,b0015,b0033,90
511145,b0015,b2946,108
511145,b0015,b4175,90
511145,b0015,b3895,74
511145,b0015,b3532,206
511145,b0015,b2488,246
511145,b0015,b2784,99
511145,b0015,b1114,99
511145,b0015,b0435,79
511145,b0015,b3636,538
511145,b0015,b1133,60
511145,b0015,b4063,276
511145,b0015,b1206,84
511145,b0015,b1086,283
511145,b0015,b1552,65
511145,b0015,b3686,174
511145,b0015,b1714,88
511145,b0015,b0095,135
511145,b0015,b2275,206
511145,b0015,b0492,91
511145,b0015,b3464,144
511145,b0015,b1494,282
511145,b0015,b3301,619
511145,b0015,b3001,212
511145,b0015,b2568,89
511145,b0015,b3256,81
511145,b0015,b3935,108
511145,b0015,b0799,133
511145,b0015,b3311,616
511145,b0015,b2845,59
511145,b0015,b0649,206
511145,b0015,b0661,357
511145,b0015,b0999,576
511145,b0015,b0727,77
511145,b0015,b2195,372
511145,b0015,b0635,243
511145,b0015,b4154,82
511145,b0015,b2234,93
511145,b0015,b2458,145
511145,b0015,b3741,138
511145,b0015,b2581,335
511145,b0015,b0932,89
511145,b0015,b1078,262
511145,b0015,b2720,246
511145,b0015,b0047,61
511145,b0015,b3590,140
511145,b0015,b4147,79
511145,b0015,b2370,94
511145,b0015,b2926,83
511145,b0015,b3236,58
511145,b0015,b1308,206
511145,b0015,b0386,87
511145,b0015,b3687,232
511145,b0015,b4142,111
511145,b0015,b3734,83
511145,b0015,b3297,392
511145,b0015,b1771,212
511145,b0015,b0037,279
511145,b0015,b2218,94
511145,b0015,b3559,108
511145,b0015,b1184,78
511145,b0015,b0091,94
511145,b0015,b3469,65
511145,b0015,b1129,83
511145,b0015,b1656,535
511145,b0015,b1083,91
511145,b0015,b1250,92
511145,b0015,b2627,103
511145,b0015,b4506,301
511145,b0015,b4143,93
511145,b0015,b1207,183
511145,b0015,b3530,139
511145,b0015,b0053,90
511145,b0015,b3425,206
511145,b0015,b1646,112
511145,b0015,b0723,82
511145,b0015,b4177,60
511145,b0015,b1120,91
511145,b0015,b2892,87
511145,b0015,b3363,563
511145,b0015,b0051,91
511145,b0015,b1235,89
511145,b0015,b1224,398
511145,b0015,b2517,131
511145,b0015,b0914,94
511145,b0015,b0875,243
511145,b0015,b3702,113
511145,b0015,b3318,133
511145,b0015,b3290,92
511145,b0015,b3982,108
511145,b0015,b3162,270
511145,b0015,b4557,108
511145,b0015,b3611,206
511145,b0015,b3644,404
511145,b0015,b0989,65
511145,b0015,b0525,563
511145,b0015,b3315,444
511145,b0015,b0797,242
511145,b0015,b0911,79
511145,b0015,b0909,145
511145,b0015,b2798,65
511145,b0015,b2791,283
511145,b0015,b3299,301
511145,b0015,b0605,89
511145,b0015,b2557,55
511145,b0015,b3927,243
511145,b0015,b2745,616
511145,b0015,b2533,108
511145,b0015,b2269,91
511145,b0015,b0470,94
511145,b0015,b3179,60
511145,b0015,b1866,83
511145,b0015,b3705,82
511145,b0015,b2938,93
511145,b0015,b1093,91
511145,b0015,b3539,59
511145,b0015,b3342,475
511145,b0015,b3916,89
511145,b0015,b2810,64
511145,b0015,b3307,449
511145,b0015,b2851,206
511145,b0015,b3296,376
511145,b0015,b0093,273
511145,b0015,b1779,85
511145,b0015,b3733,74
511145,b0015,b3314,105
511145,b0015,b1732,75
511145,b0015,b1763,62
511145,b0015,b0440,91
